S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,OUTPUT
-2.09088,-0.02918,0.07135,-0.13052,0,-0.36475,-0.03765,-0.0374822,-0.966,-1.5334,0.14714,0.0163978,-0.28112,-1.55556,0.03153,0.00415776,-0.14967,-1.9474,-0.28652,0.0220378,-1.092,-0.04315,D
-2.09088,0.02918,0.09989,-0.1255,0.03232,-0.2918,-0.03765,-0.0624483,-1.01775,-1.46124,0.14714,0.00041168,-0.45682,-1.71648,0.02102,0.0616117,-0.26608,-1.9838,-0.3952,0.0794917,-0.8736,-0.04315,D
-2.10672,0.02918,0.09989,-0.1255,-0.01616,-0.23344,-0.03765,-0.0332699,-1.0005,-1.4432,0.14714,0.0251001,-0.24598,-1.53768,0,-0.0177399,-0.1663,-2.093,-0.3458,0.00610008,-1.1557,-0.07767,D
-2.07504,0.02918,0.09989,-0.1255,0,-0.23344,-0.03765,-0.0430584,-0.98325,-1.55144,0.14714,0.0242916,-0.22841,-1.48404,-0.04204,-0.0063084,-0.09978,-1.9656,-0.247,0.0115716,-0.9919,-0.07767,D
-2.07504,0.01459,0.12843,-0.11546,-0.01616,-0.2918,-0.03765,-0.0540237,-1.0005,-1.55144,0.13663,0.0178163,-0.31626,-1.5198,0.03153,0.0178163,-0.18293,-1.9656,-0.21736,0.0416563,-0.9919,-0.07767,D
-2.07504,0.05836,0.12843,-0.11546,0,-0.32098,-0.03765,-0.0552005,-0.91425,-1.55144,0.14714,0.0121495,-0.29869,-1.59132,0.03153,0.0305095,-0.1663,-2.0202,-0.06916,0.0483895,-1.001,-0.07767,D
-2.09088,0.04377,0.11416,-0.11546,0,-0.32098,-0.03765,-0.0567182,-0.94875,-1.49732,0.1051,0.0106318,-0.33383,-1.66284,0.01051,0.0351118,-0.1663,-2.093,-0.13832,0.0529918,-1.001,-0.07767,D
-2.07504,0.11672,0.05708,-0.0753,-0.03232,-0.26262,-0.03765,-0.0492834,-0.94875,-1.353,-0.45193,0.00010664,-0.29869,-1.66284,-0.27326,0.0490666,-0.21619,-1.9474,-0.52364,0.0729066,-1.1921,-0.07767,D
-2.07504,0,0.08562,-0.11044,0.11312,-0.21885,-0.06777,-0.0577411,-0.759,-1.46124,-0.35734,0.0230789,-0.12299,-1.62708,-0.25224,0.0108389,-0.01663,-1.8928,-0.3458,0.00487888,-1.2103,-0.07767,D
-1.99584,0,0.02854,-0.11044,0.19392,-0.39393,-0.06777,-0.0612715,-0.70725,-1.60556,0.02102,0.00607848,-0.10542,-1.48404,-0.04204,0.0489185,0.08315,-1.8018,-0.31616,0.0131585,-1.2467,-0.07767,D
-2.07504,0,0.1427,-0.11546,0.22624,-0.33557,-0.03765,-0.0913189,-0.7245,-1.69576,0.07357,0.0119511,-0.12299,-1.6986,-0.02102,0.0670311,0.01663,-1.9656,-0.36556,0.0312711,-1.2012,-0.07767,D
-2.09088,0.05836,0.08562,-0.08534,0.14544,-0.33557,-0.03765,-0.0396819,-0.84525,-1.46124,0.01051,0.0231781,-0.22841,-1.48404,-0.11561,-0.00742192,-0.08315,-1.8928,-0.41496,-0.0133819,-1.3377,-0.07767,D
-2.0592,0.05836,0.02854,-0.08534,0.14544,-0.39393,-0.03765,-0.0508011,-0.81075,-1.38908,-0.44142,-0.00141112,-0.19327,-1.55556,-0.28377,0.0536689,-0.14967,-2.002,-0.60268,0.0477089,-1.3377,-0.07767,D
-2.02752,0.01459,0.08562,-0.10542,0.1616,-0.33557,-0.03765,-0.083543,-0.84525,-1.51536,-0.09459,-0.00272304,-0.28112,-1.64496,-0.17867,0.089077,-0.18293,-2.0202,-0.494,0.100997,-1.1102,-0.07767,D
-2.01168,0.01459,0,-0.1255,0.06464,-0.32098,-0.03765,-0.0489424,-0.98325,-1.46124,-0.06306,-0.0040424,-0.43925,-1.6986,-0.11561,0.0571576,-0.28271,-2.1658,-0.52364,0.0690776,-0.8827,-0.07767,D
-2.07504,0.07295,0.05708,-0.08032,0.1616,-0.39393,-0.03765,-0.0923086,-0.84525,-1.46124,-0.05255,-0.0159786,-0.36897,-1.64496,-0.07357,0.124781,-0.19956,-2.2932,-0.47424,0.166501,-1.183,-0.07767,D
-2.01168,0.05836,0.08562,-0.11044,0.1616,-0.32098,-0.03765,-0.0737546,-0.828,-1.58752,-0.06306,-0.00191456,-0.28112,-1.73436,-0.14714,0.0776454,-0.18293,-2.2568,-0.51376,0.0955254,-0.9737,-0.07767,D
-2.12256,0.05836,0.12843,-0.11044,0.0808,-0.32098,-0.03765,-0.0508011,-0.897,-1.38908,-0.19969,-0.00141112,-0.40411,-1.57344,-0.12612,0.0536689,-0.18293,-2.275,-0.57304,0.0417489,-1.1739,-0.07767,D
-2.07504,0.04377,0,-0.11546,0,-0.39393,-0.03765,-0.0489424,-0.8625,-1.42516,-0.19969,-0.0040424,-0.36897,-1.64496,-0.17867,0.0571576,-0.19956,-2.1476,-0.58292,0.0750376,-1.1375,-0.07767,D
-2.02752,0.04377,0,-0.11546,0.01616,-0.4377,-0.03765,-0.0305422,-0.828,-1.47928,-0.05255,-0.00809224,-0.36897,-1.66284,-0.11561,0.0469878,-0.23282,-2.2022,-0.42484,0.0648678,-0.8645,-0.07767,D
-2.09088,0.04377,0.05708,-0.09538,-0.03232,-0.35016,-0.03765,-0.0610845,-0.87975,-1.5334,0.03153,-0.0161845,-0.45682,-1.788,0.02102,0.0939755,-0.23282,-2.2932,-0.53352,0.111856,-1.0738,-0.07767,D
-2.0592,0.07295,0.07135,-0.08534,0.04848,-0.35016,-0.03765,-0.0874144,-0.98325,-1.4432,0.02102,-0.0155744,-0.65009,-1.48404,-0.06306,0.119066,-0.41575,-2.2204,-0.62244,0.130986,-0.9373,-0.07767,D
-2.0592,-0.04377,0.05708,-0.13052,0.09696,-0.30639,-0.03765,-0.0696962,-0.84525,-1.47928,-0.04204,-0.0113262,-0.47439,-1.66284,-0.25224,0.0927138,-0.21619,-2.2568,-0.51376,0.110594,-1.0647,-0.07767,D
-2.0592,0.01459,0.11416,-0.13052,0.11312,-0.30639,-0.03765,-0.10312,-0.8625,-1.56948,0.01051,-0.00434,-0.38654,-1.75224,-0.17867,0.11194,-0.26608,-2.3114,-0.47424,0.12982,-0.9555,-0.07767,D
-2.0592,0,0.11416,-0.08534,0.0808,-0.24803,-0.03765,-0.10786,-1.01775,-1.353,-0.02102,0.0133697,-0.47439,-1.55556,-0.07357,0.0806897,-0.21619,-2.2568,-0.51376,0.0270497,-1.0738,-0.07767,D
-2.0592,0.01459,0.08562,-0.1004,0.09696,-0.30639,-0.03765,-0.101756,-0.98325,-1.42516,0.02102,-0.0209362,-0.59738,-1.62708,-0.1051,0.144304,-0.29934,-2.2386,-0.60268,0.132384,-0.9919,-0.07767,D
-2.1384,0.07295,0.08562,-0.1004,0.12928,-0.30639,-0.03765,-0.0715549,-0.828,-1.60556,0.08408,-0.00869488,-0.38654,-1.71648,-0.2102,0.0892251,-0.24945,-2.4024,-0.67184,0.0773051,-0.9828,-0.07767,D
-2.04336,0.01459,0.02854,-0.1004,0.0808,-0.36475,-0.03765,-0.0988746,-0.966,-1.47928,0,-0.0360146,-0.65009,-1.48404,-0.17867,0.172065,-0.46564,-1.9656,-0.67184,0.183985,-0.8099,-0.07767,D
-2.02752,0.02918,0.08562,-0.10542,0.04848,-0.39393,-0.03765,-0.0863915,-0.98325,-1.6236,0.13663,-0.0280215,-0.56224,-1.77012,-0.13663,0.143338,-0.54879,-2.2204,-0.42484,0.238698,-0.6006,-0.07767,D
-2.0592,0.05836,0.02854,-0.08534,0.01616,-0.4377,-0.03765,-0.0848738,-1.0695,-1.47928,0.1051,-0.0265038,-0.68523,-1.64496,-0.11561,0.138736,-0.48227,-2.4024,-0.494,0.210256,-0.9646,-0.07767,D
-2.01168,0.04377,0.01427,-0.1004,-0.01616,-0.2918,-0.03765,-0.0703781,-0.98325,-1.55144,0.03153,-0.00302808,-0.47439,-1.75224,-0.1051,0.0765319,-0.23282,-2.366,-0.80028,0.0944119,-1.0101,-0.07767,D
-1.2672,0.11672,-0.45664,-0.20582,-0.30704,-0.53983,-0.06024,0.0599408,-0.50025,-0.82984,-0.08408,-0.0298592,-0.01757,-1.09068,-0.07357,0.0007408,-0.06652,-1.4378,-0.22724,0.0543808,-0.7553,-0.11219,E
-0.85536,-0.51065,-2.04061,-0.48694,-0.45248,-1.95506,-0.85842,0.0371744,-0.828,-2.03852,-0.91437,-0.0526256,-0.1757,-2.30652,-0.74621,0.0697744,-0.11641,-2.7846,-1.29428,0.212814,-0.5278,-0.07767,E
-0.9504,-0.49606,-1.86937,-0.47188,-0.53328,-1.80916,-0.76806,0.0189613,-0.84525,-1.804,-0.8408,-0.0708387,-0.36897,-2.28864,-0.72519,0.125001,-0.39912,-2.7846,-1.21524,0.327641,-0.2002,-0.09493,E
-0.77616,-0.46688,-1.91218,-0.44176,-0.53328,-1.91129,-0.8283,0.0051144,-0.98325,-2.03852,-0.91437,-0.0622356,-0.66766,-2.28864,-0.74621,0.121364,-0.89802,-2.7482,-1.15596,0.300164,-0.1729,-0.06041,E
-1.09296,-0.45229,-1.78375,-0.46184,-0.42016,-1.82375,-0.76806,0.0341389,-0.70725,-1.804,-0.81978,-0.0556611,-0.19327,-2.30652,-0.72519,0.0789789,-0.28271,-2.8574,-1.29428,0.198179,0.0182,-0.06041,E
-1.07712,-0.46688,-1.72667,-0.43674,-0.42016,-1.83834,-0.76806,0.0209739,-0.69,-1.84008,-0.78825,-0.0553561,-0.19327,-2.27076,-0.75672,0.0915239,-0.21619,-2.8574,-1.30416,0.240524,-0.1547,-0.06041,E
-0.83952,-0.48147,-1.98353,-0.48694,-0.43632,-1.91129,-0.79818,0.0451042,-0.67275,-2.03852,-0.91437,-0.0491858,-0.14056,-2.34228,-0.78825,0.0548542,-0.18293,-2.912,-1.27452,0.162134,-0.1456,-0.09493,E
-1.1088,-0.40852,-1.68386,-0.48694,-0.35552,-1.8967,-0.78312,0.0601278,-0.552,-1.8942,-0.87233,-0.0521222,0.05271,-2.25288,-0.71468,0.0457978,-0.03326,-2.8756,-1.22512,0.147118,-0.3913,-0.06041,E
-0.9504,-0.37934,-1.84083,-0.52208,-0.33936,-1.91129,-0.77559,0.0560694,-0.552,-1.93028,-0.86182,-0.0427106,0.03514,-2.27076,-0.74621,0.0307294,0.01663,-2.8756,-1.24488,0.114169,-0.3185,-0.06041,E
-1.4256,-0.46688,-1.81229,-0.35642,-0.2424,-1.94047,-0.84336,0.0287498,-0.4485,-1.96636,-0.92488,-0.0700302,0.10542,-2.27076,-0.7357,0.11357,-0.08315,-2.8938,-1.36344,0.27449,-0.6188,-0.05178,E
-1.39392,-0.39393,-1.92645,-0.39156,-0.2424,-1.8967,-0.79818,0.0243504,-0.483,-1.8942,-0.85131,-0.0564696,0.08785,-2.34228,-0.76723,0.0904104,-0.06652,-2.8756,-1.31404,0.23941,-0.5551,-0.06041,E
-1.06128,-0.42311,-1.78375,-0.48192,-0.22624,-1.92588,-0.82077,0.0469629,-0.4485,-2.00244,-0.91437,-0.0518171,0.14056,-2.28864,-0.77774,0.0583429,0,-2.8392,-1.26464,0.177543,-0.546,-0.06041,E
-1.15632,-0.24803,-1.46981,-0.2761,-0.0808,-1.50277,-0.47439,0.0228326,-0.22425,-1.55144,-0.49397,-0.0579874,0.10542,-1.77012,-0.43091,0.0950126,-0.06652,-2.1294,-0.80028,0.208253,-0.5733,-0.06041,E
-1.1088,-0.49606,-1.8551,-0.44176,-0.46864,-1.95506,-0.81324,0.0130442,-0.7245,-2.02048,-1.02998,-0.0587958,-0.31626,-2.30652,-0.76723,0.106444,-0.34923,-2.821,-1.24488,0.291204,-0.1183,-0.06041,E
-1.07712,-0.42311,-1.69813,-0.43172,-0.37168,-1.8967,-0.82077,0.0295856,-0.63825,-1.93028,-0.92488,-0.0602144,-0.1757,-2.28864,-0.74621,0.0927856,-0.19956,-2.8756,-1.27452,0.211986,-0.2457,-0.06041,E
-1.07712,-0.46688,-1.72667,-0.4267,-0.35552,-1.85293,-0.82077,0.027045,-0.6555,-1.91224,-0.89335,-0.049285,-0.07028,-2.25288,-0.74621,0.073115,-0.09978,-2.8574,-1.27452,0.168475,-0.4368,-0.06041,E
-1.1088,-0.4377,-1.65532,-0.42168,-0.50096,-1.79457,-0.76806,0.0408918,-0.7935,-1.74988,-0.79876,-0.0578882,-0.31626,-2.16348,-0.7357,0.0767518,-0.1663,-2.8938,-1.3338,0.142312,-0.4186,-0.06904,E
-0.9504,-0.45229,-1.69813,-0.43172,-0.46864,-1.86752,-0.79818,0.0167616,-0.70725,-1.87616,-0.83029,-0.0640584,-0.45682,-2.28864,-0.74621,0.113422,-0.6652,-2.8028,-1.05716,0.262422,0.0819,-0.05178,E
-0.99792,-0.45229,-1.69813,-0.44678,-0.46864,-1.86752,-0.83583,0.0295856,-0.67275,-1.96636,-0.95641,-0.0602144,-0.29869,-2.3244,-0.76723,0.0927856,-0.38249,-2.7846,-1.12632,0.211986,-0.0546,-0.05178,E
-0.82368,-0.4377,-1.82656,-0.46184,-0.46864,-1.86752,-0.78312,0.00932672,-0.7935,-1.96636,-0.91437,-0.0535333,-0.38654,-2.30652,-0.77774,0.0994667,-0.38249,-2.7482,-1.12632,0.212707,-0.0819,-0.06041,E
-0.98208,-0.39393,-1.65532,-0.40662,-0.43632,-1.83834,-0.76053,0.0368334,-0.7245,-1.84008,-0.79876,-0.0484766,-0.24598,-2.21712,-0.7357,0.0616834,-0.19956,-2.8028,-1.1856,0.163003,-0.3458,-0.06041,E
-1.04544,-0.40852,-1.62678,-0.43674,-0.46864,-1.82375,-0.79818,0.0417277,-0.77625,-1.85812,-0.86182,-0.0480723,-0.10542,-2.16348,-0.71468,0.0559677,-0.21619,-2.8756,-1.0868,0.181128,-0.3913,-0.06041,E
-1.04544,-0.40852,-1.62678,-0.43674,-0.43632,-1.80916,-0.79818,0.0292446,-0.759,-1.84008,-0.80927,-0.0560654,-0.3514,-2.27076,-0.72519,0.0846946,-0.26608,-2.8574,-1.16584,0.180055,-0.1547,-0.06041,E
-0.88704,-0.39393,-1.68386,-0.39658,-0.58176,-1.7508,-0.73041,0.014221,-0.966,-1.73184,-0.76723,-0.053129,-0.61495,-2.18136,-0.70417,0.093751,-0.64857,-2.7482,-0.99788,0.212951,-0.2275,0.00863,E
-1.07712,-0.40852,-1.7124,-0.3514,-0.38784,-1.83834,-0.79818,0.0295856,-0.70725,-1.85812,-0.85131,-0.0602144,-0.31626,-2.19924,-0.72519,0.0927856,-0.21619,-2.8756,-1.0868,0.164306,-0.4459,-0.06041,E
-0.98208,-0.37934,-1.74094,-0.42168,-0.38784,-1.85293,-0.77559,0.0137261,-0.69,-1.82204,-0.8408,-0.0670939,-0.3514,-2.235,-0.69366,0.122626,-0.31597,-2.7664,-0.99788,0.229906,-0.1547,-0.02589,E
-1.09296,-0.36475,-1.59824,-0.38152,-0.37168,-1.86752,-0.74547,0.0246914,-0.621,-1.82204,-0.80927,-0.0606186,-0.19327,-2.18136,-0.70417,0.0985014,-0.13304,-2.7846,-0.9386,0.199821,-0.5642,-0.06041,E
-1.04544,-0.37934,-1.59824,-0.37148,-0.42016,-1.80916,-0.76053,0.0295856,-0.81075,-1.804,-0.78825,-0.0602144,-0.33383,-2.10984,-0.64111,0.0927856,-0.31597,-2.821,-0.988,0.182186,-0.4004,-0.06041,E
-0.88704,-0.40852,-1.84083,-0.3765,-0.33936,-1.94047,-0.78312,0.0402099,-0.60375,-1.9844,-0.91437,-0.0495901,-0.15813,-2.28864,-0.78825,0.0605699,-0.19956,-2.8756,-1.11644,0.16785,-0.3367,-0.06041,E
-0.88704,-0.37934,-1.7124,-0.39156,-0.38784,-1.88211,-0.79818,0.0390331,-0.6555,-1.94832,-0.88284,-0.0552569,-0.12299,-2.21712,-0.74621,0.0732631,-0.24945,-2.8392,-1.04728,0.168623,-0.4277,-0.06041,E
-0.9504,-0.35016,-1.59824,-0.40662,-0.43632,-1.83834,-0.74547,0.0311034,-0.759,-1.78596,-0.81978,-0.0586966,-0.22841,-2.1456,-0.72519,0.0881834,-0.14967,-2.8392,-1.20536,0.165663,-0.6552,-0.06041,E
-0.88704,-0.39393,-1.68386,-0.41666,-0.42016,-1.83834,-0.79818,0.0130442,-0.7245,-1.96636,-0.87233,-0.0587958,-0.31626,-2.18136,-0.74621,0.106444,-0.24945,-2.821,-1.05716,0.195844,-0.3913,-0.06041,E
-0.98208,-0.35016,-1.64105,-0.39658,-0.51712,-1.77998,-0.73794,0.0344798,-0.81075,-1.76792,-0.80927,-0.0598102,-0.38654,-2.1456,-0.70417,0.0870698,-0.31597,-2.8392,-0.99788,0.16455,-0.3731,-0.04315,E
-1.01376,-0.40852,-1.61251,-0.38152,-0.38784,-1.85293,-0.81324,0.0228326,-0.69,-1.87616,-0.85131,-0.0579874,-0.31626,-2.25288,-0.72519,0.0950126,-0.18293,-2.8392,-1.05716,0.184413,-0.455,-0.07767,E
-1.06128,-0.39393,-1.62678,-0.3514,-0.50096,-1.7508,-0.73794,0.0616456,-0.9315,-1.73184,-0.76723,-0.0506044,-0.3514,-2.12772,-0.64111,0.0411956,-0.23282,-2.8574,-0.97812,0.0769556,-0.4732,-0.04315,E
-0.96624,-0.37934,-1.66959,-0.36144,-0.33936,-1.8967,-0.80571,0.0216558,-0.74175,-1.82204,-0.86182,-0.0636542,-0.3514,-2.16348,-0.70417,0.107706,-0.34923,-2.8028,-1.05716,0.244786,-0.364,-0.07767,E
-1.0296,-0.35016,-1.58397,-0.33132,-0.42016,-1.73621,-0.73794,0.0446093,-0.84525,-1.67772,-0.76723,-0.0631507,-0.36897,-2.03832,-0.64111,0.0837293,-0.29934,-2.8938,-1.07692,0.196969,-0.455,-0.07767,E
-1.12464,-0.39393,-1.64105,-0.33132,-0.59792,-1.61949,-0.70029,0.0586101,-1.05225,-1.64164,-0.71468,-0.0536399,-0.54467,-2.10984,-0.70417,0.0504001,-0.41575,-2.7846,-1.04728,0.11596,-0.364,-0.04315,E
-0.99792,-0.39393,-1.64105,-0.35642,-0.45248,-1.77998,-0.79818,0.0356566,-0.7935,-1.804,-0.83029,-0.0541434,-0.31626,-2.21712,-0.71468,0.0743766,-0.1663,-2.7118,-1.02752,0.169737,-0.4732,-0.07767,E
-1.0296,-0.39393,-1.64105,-0.31124,-0.54944,-1.67785,-0.70029,0.0473038,-0.966,-1.7138,-0.75672,-0.0559662,-0.43925,-2.16348,-0.67264,0.0664338,-0.14967,-2.7118,-0.99788,0.131994,-0.7644,-0.04315,E
-0.96624,-0.39393,-1.66959,-0.33132,-0.54944,-1.72162,-0.77559,0.0503394,-0.94875,-1.76792,-0.80927,-0.0529306,-0.40411,-2.1456,-0.69366,0.0572294,-0.19956,-2.73,-0.988,0.110869,-0.5187,-0.07767,E
-1.07712,-0.36475,-1.65532,-0.29116,-0.54944,-1.70703,-0.73041,0.0424096,-0.87975,-1.7138,-0.79876,-0.0563704,-0.36897,-2.09196,-0.6306,0.0721496,-0.14967,-2.73,-1.06704,0.10195,-0.7462,-0.07767,E
-1.0296,-0.36475,-1.74094,-0.32128,-0.33936,-1.85293,-0.79818,0.0289037,-0.69,-1.91224,-0.86182,-0.0519163,-0.1757,-2.21712,-0.70417,0.0766037,-0.14967,-2.6936,-1.0374,0.237524,-0.6006,-0.07767,E
-1.06128,-0.32098,-1.5697,-0.31626,-0.53328,-1.66326,-0.72288,0.0518571,-0.94875,-1.73184,-0.71468,-0.0514129,-0.36897,-2.07408,-0.59907,0.0526271,-0.26608,-2.7846,-1.07692,0.159907,-0.5642,-0.04315,E
-0.93456,-0.37934,-1.61251,-0.3514,-0.37168,-1.83834,-0.79818,0.0326211,-0.67275,-1.87616,-0.81978,-0.0571789,-0.26355,-2.18136,-0.71468,0.0835811,-0.23282,-2.8392,-1.00776,0.190861,-0.546,-0.04315,E
-0.9504,-0.40852,-1.75521,-0.33132,-0.45248,-1.8967,-0.81324,0.0292446,-0.7935,-1.91224,-0.91437,-0.0560654,-0.33383,-2.18136,-0.69366,0.0846946,-0.21619,-2.6936,-0.82004,0.186015,-0.5642,-0.05178,E
-0.99792,-0.37934,-1.62678,-0.34136,-0.404,-1.80916,-0.79065,0.0451042,-0.70725,-1.85812,-0.8408,-0.0491858,-0.24598,-2.18136,-0.68315,0.0548542,-0.13304,-2.73,-0.8398,0.150214,-0.637,-0.05178,E
-1.12464,-0.36475,-1.68386,-0.3012,-0.35552,-1.86752,-0.8283,0.0292446,-0.621,-1.87616,-0.87233,-0.0560654,-0.10542,-2.18136,-0.72519,0.0846946,-0.03326,-2.7664,-0.96824,0.203895,-0.9464,-0.05178,E
-1.0296,-0.36475,-1.59824,-0.31124,-0.38784,-1.79457,-0.78312,0.0503394,-0.77625,-1.82204,-0.77774,-0.0529306,-0.21084,-2.10984,-0.66213,0.0572294,-0.08315,-2.6936,-0.90896,0.122789,-0.8736,-0.0863,E
-1.01376,-0.30639,-1.54116,-0.31124,-0.30704,-1.82375,-0.77559,0.0304214,-0.5175,-1.82204,-0.77774,-0.0503986,-0.07028,-2.18136,-0.67264,0.0720014,0.01663,-2.8028,-0.99788,0.137561,-0.9373,-0.04315,E
-1.188,-0.30639,-1.66959,-0.30622,-0.30704,-1.86752,-0.76806,0.039869,-0.53475,-1.8942,-0.80927,-0.045441,0,-2.12772,-0.67264,0.052479,0.01663,-2.7482,-0.90896,0.141879,-0.9464,-0.04315,E
-1.31472,-0.35016,-1.74094,-0.24096,-0.45248,-1.8967,-0.72288,0.0466219,-0.828,-1.8942,-0.8408,-0.0476681,-0.24598,-2.19924,-0.69366,0.0502519,-0.14967,-2.6026,-0.82992,0.133692,-0.6825,-0.04315,E
-1.0296,-0.40852,-1.72667,-0.38152,-0.33936,-1.8967,-0.81324,0.0445762,-0.70725,-1.94832,-0.91437,-0.0227738,-0.08785,-2.16348,-0.65162,0.00170616,0.01663,-2.5116,-0.71136,0.0553462,-0.7007,-0.03452,E
-0.8712,-0.39393,-1.69813,-0.38152,-0.404,-1.85293,-0.80571,0.0498114,-0.77625,-1.91224,-0.8408,-0.0265186,-0.10542,-2.10984,-0.62009,0.00408136,0,-2.366,-0.67184,0.0577214,-0.6461,-0.06904,E
-0.792,-0.37934,-1.74094,-0.39156,-0.25856,-1.95506,-0.79065,0.0579282,-0.5865,-1.93028,-0.95641,-0.0453418,-0.07028,-2.18136,-0.72519,0.0342182,0,-2.6026,-0.8892,0.111698,-0.9009,-0.03452,E
-1.01376,-0.36475,-1.61251,-0.3765,-0.35552,-1.83834,-0.77559,0.0597869,-0.63825,-1.85812,-0.87233,-0.0479731,-0.12299,-2.16348,-0.68315,0.0377069,-0.04989,-2.5662,-0.7904,0.121147,-0.7371,-0.03452,E
-0.96624,-0.37934,-1.7124,-0.36144,-0.43632,-1.85293,-0.753,0.0548926,-0.7245,-1.8942,-0.83029,-0.0483774,-0.1757,-2.21712,-0.70417,0.0434226,0,-2.6208,-0.82004,0.114943,-0.8281,-0.03452,E
-1.53648,-0.27721,-1.68386,-0.19578,-0.38784,-1.92588,-0.6024,0.01388,-0.60375,-1.9844,-0.97743,-0.04898,-0.07028,-2.235,-0.68315,0.08566,-0.13304,-2.8392,-1.06704,0.18698,-0.7735,-0.02589,E
-0.96624,-0.40852,-1.7124,-0.3514,-0.27472,-1.96965,-0.753,0.0322802,-0.4485,-2.02048,-0.91437,-0.0530298,0.14056,-2.28864,-0.75672,0.0754902,0.03326,-2.8938,-1.15596,0.17681,-1.0192,-0.03452,E
-0.9504,-0.33557,-1.68386,-0.40662,-0.2424,-1.92588,-0.79065,0.0451042,-0.50025,-1.9844,-0.93539,-0.0491858,0.07028,-2.25288,-0.75672,0.0548542,0,-2.7846,-1.0868,0.132334,-0.8827,-0.06904,E
-1.1088,-0.2918,-1.82656,-0.33634,-0.21008,-1.91129,-0.76053,0.0145619,-0.4485,-1.96636,-0.88284,-0.0572781,0.1757,-2.21712,-0.74621,0.101842,0,-2.8574,-1.235,0.203162,-1.0647,-0.03452,E
-1.21968,-0.2918,-1.75521,-0.2761,-0.21008,-1.8967,-0.71535,0.0228326,-0.483,-1.87616,-0.80927,-0.0579874,0.12299,-2.16348,-0.65162,0.0950126,0,-2.8028,-1.16584,0.196333,-1.0465,-0.03452,E
-1.06128,-0.37934,-1.72667,-0.36144,-0.35552,-1.88211,-0.78312,0.0224917,-0.6555,-1.93028,-0.97743,-0.0538383,-0.14056,-2.28864,-0.70417,0.0869217,-0.1663,-2.8028,-1.14608,0.229962,-0.5733,-0.06904,E
-1.15632,-0.40852,-1.8551,-0.33634,-0.37168,-1.88211,-0.76806,0.0103496,-0.7245,-1.96636,-1.02998,-0.0659804,-0.31626,-2.25288,-0.7357,0.12374,-0.36586,-2.8392,-1.1362,0.26678,-0.2548,-0.03452,E
-1.15632,-0.39393,-1.84083,-0.39156,-0.3232,-1.88211,-0.74547,0.0246914,-0.53475,-1.85812,-0.87233,-0.0606186,-0.05271,-2.16348,-0.69366,0.0985014,-0.08315,-2.7664,-1.16584,0.181941,-0.6552,-0.06904,E
-1.2672,-0.46688,-1.86937,-0.36646,-0.404,-1.86752,-0.76053,0.0246914,-0.67275,-1.82204,-0.87233,-0.0606186,-0.28112,-2.21712,-0.70417,0.0985014,-0.21619,-2.8028,-1.20536,0.259421,-0.3822,-0.06904,E
-1.28304,-0.48147,-1.82656,-0.36144,-0.43632,-1.83834,-0.79065,0.0133851,-0.7245,-1.8942,-0.92488,-0.0629449,-0.38654,-2.27076,-0.69366,0.114535,-0.38249,-2.7118,-1.09668,0.245655,-0.3276,-0.06041,E
-1.20384,-0.4377,-1.82656,-0.38152,-0.35552,-1.82375,-0.71535,0.0179384,-0.6555,-1.93028,-0.9459,-0.0583916,-0.19327,-2.30652,-0.71468,0.100728,-0.1663,-2.7846,-1.17572,0.213968,-0.4641,-0.06041,E
-1.14048,-0.40852,-1.69813,-0.39658,-0.35552,-1.8967,-0.77559,-0.00281536,-0.53475,-2.00244,-0.99845,-0.0656754,-0.1757,-2.25288,-0.7357,0.136285,-0.13304,-2.7664,-1.17572,0.291245,-0.5642,-0.06041,E
-1.12464,-0.42311,-1.8551,-0.38654,-0.38784,-1.94047,-0.79065,-0.0168162,-0.60375,-1.9844,-0.92488,-0.0751862,-0.24598,-2.30652,-0.74621,0.169614,-0.23282,-2.7482,-1.14608,0.408014,-0.4277,-0.06041,E
-1.15632,-0.40852,-1.78375,-0.3765,-0.404,-1.88211,-0.78312,0.0355027,-0.69,-1.82204,-0.8408,-0.0722573,-0.26355,-2.10984,-0.6306,0.111343,-0.26608,-2.5844,-1.15596,0.302063,-0.5733,-0.06041,E
-1.12464,-0.42311,-1.84083,-0.39156,-0.35552,-1.88211,-0.77559,0.00461952,-0.70725,-1.85812,-0.91437,-0.0762005,-0.28112,-2.235,-0.68315,0.15024,-0.19956,-2.73,-1.20536,0.34096,-0.4186,-0.06041,E
-1.01376,-0.4377,-1.88364,-0.43172,-0.38784,-1.88211,-0.77559,-0.00702768,-0.63825,-1.93028,-0.91437,-0.0743777,-0.28112,-2.235,-0.72519,0.158182,-0.19956,-2.7664,-1.15596,0.342942,-0.4004,-0.06041,E
-0.99792,-0.42311,-1.95499,-0.41666,-0.42016,-1.8967,-0.753,-0.00585088,-0.7245,-1.91224,-0.89335,-0.0687109,-0.3514,-2.27076,-0.71468,0.145489,-0.34923,-2.6936,-1.11644,0.360049,-0.3185,-0.06041,E
